IdMesta,Naziv
715816,Мариновац
715824,Метриш
715832,Николичево
715859,Планиница
715867,Прлита
715875,Рготина
715883,Салаш
715891,Селачка
715905,Табаковац
715913,Трнавац
715921,Халово
715930,Чокоњар
715948,Шипиково
715956,Шљивар
715964,Бедина Варош
715972,Братљево
715999,Брезова
716006,Брусник
716014,Будожеља
716022,Васиљевићи
716049,Вионица
716057,Врмбаје
716065,Вучак
716073,Глеђица
716081,Градац
716090,Дајићи
716103,Девићи
716111,Деретин
716120,Добри До
716138,Дубрава
716146,Ерчеге
716154,Ивањица
716162,Јаворска Равна Гора
716189,Катићи
716197,Клекова
716219,Ковиље
716227,Комадине
716235,Коритник
716243,Косовица
716251,Куманица
716260,Кушићи
716278,Лиса
716286,Луке
716294,Мана
716308,Маскова
716316,Медовине
716324,Међуречје
716332,Мочиоци
716359,Опаљеник
716367,Осоница
716375,Пресека
716383,Прилике
716391,Равна Гора
716405,Радаљево
716413,Ровине
716421,Рокци
716430,Свештица
716448,Сивчина
716456,Смиљевац
716464,Чечина
716472,Шареник
716499,Шуме
746720,Буковица
716502,Брза Паланка
716529,Вајуга
716537,Велесница
716545,Велика Врбица
716553,Велика Каменица
716561,Грабовица
716570,Давидовац
716588,Кладово
716596,Кладушница
716600,Корбово
716618,Костол
716626,Купузиште
716634,Љубичевац
716642,Мала Врбица
716669,Манастирица
716677,Милутиновац
716685,Нови Сип
716693,Петрово Село
716707,Подвршка
716715,Река
716723,Речица
716731,Ртково
716740,Текија
716758,Бајчетина
716766,Балосаве
716774,Баре
716782,Бечевица
716804,Борач
716812,Брестовац
716839,Брњица
716847,Бумбарево Брдо
716855,Врбета
716863,Вучковица
716871,Грабовац
716880,Гривац
716898,Гружа
716901,Губеревац
716910,Гунцати
716928,Драгушица
716936,Дубрава
